mep_id,meeting_id,topic,time,location,committee,rapporteur,lobbyist
124726,56,Digital Services Act,28-01-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Technical and Academic Publishers
124726,57,Current EU Affairs,26-01-2021,Online,,Member,CSC â€“ IT Center for Science Ltd
124726,58,Digital Services Act,26-01-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Federation of Finnish Technology Industries
124726,59,Digital Services Act,25-01-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,ACT â€“ The App Association
124726,60,Digital Services Act,12-01-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Finnish Commerce Federation
124726,61,Current EU Affairs,08-01-2021,Online,,Member,Huhtamaki Oyj
124726,62,EU Health Policy,08-01-2021,Online,,Member,Finnish Business and Policy Forum EVA
124726,63,Current EU Affairs,07-01-2021,Online,,Member,Consumersâ€™ Union of Finland
124726,64,EU Climate and Energy Policy,07-01-2021,Online,,Member,Fortum Oyj
124726,65,EU Climate and Energy Policy,07-01-2021,Online,,Member,MetsÃ¤ Group
124726,66,Current EU Affairs,14-12-2020,Online,,Member,Sailab – MedTech Finland ry
124726,67,EU Climate and Energy Policy,10-12-2020,Online,,Member,Energiateollisuus ry
124726,68,EU Forest Policy,10-12-2020,Online,,Member,MTK ry
124726,68,EU Forest Policy,10-12-2020,Online,,Member,Metsäteollisuus ry
124726,69,Sustainable Corporate Governance,09-12-2020,Online,,Member,Suomen Yrittäjät ry
124726,70,5G and Smart Cities,07-12-2020,Online,,Member,European Telecommunications Network Operators’ Association
124726,71,Circular Economy,03-12-2020,Online,,Member,Aalto-yliopisto
124726,72,Current EU Affairs,03-12-2020,Online,,Member,Päijät-Hämeen Yrittäjä ry
124726,73,Current EU Affairs,30-11-2020,"Helsinki, Finland",,Member,British Embassy in Finland
124726,74,Digital Markets Act,26-11-2020,Online,,Member,SME Europe
124726,75,C-V2X and Transport Emissions,24-11-2020,Online,,Member,5G Automotive Association (5GAA)
124726,75,C-V2X and Transport Emissions,24-11-2020,Online,,Member,Euractiv
124726,76,Current EU Affairs,23-11-2020,"JAMK, Jyväskylä, Finland",,Member,JAMK
124726,77,Current EU Affairs,19-11-2020,Online,,Member,Regional Council's of Western Finland
124726,78,Current EU Affairs,18-11-2020,Online,,Member,Helsinki Chamber of Commerce
124726,79,Biogas for Mobility,12-11-2020,Online,,Member,: Suomen Biokierto ja Biokaasu ry
124726,79,Biogas for Mobility,12-11-2020,Online,,Member,Energigas Sverige
124726,79,Biogas for Mobility,12-11-2020,Online,,Member,Biogas Danmark
124726,79,Biogas for Mobility,12-11-2020,Online,,Member,Energigass Norge
124726,79,Biogas for Mobility,12-11-2020,Online,,Member,European Biogas Association
124726,80,Horizon Europe,12-11-2020,Online,,Member,East & North Finland EU Office
