mep_id,fullName,country,politicalGroup,nationalPoliticalGroup,meeting_id,topic,date,location,committee,position,lobbyist
124726,Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,124726_0,Digital Services Act,27-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Zalando
124726,Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,124726_1,Digital Services Act,27-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,WFA – World Federation of Advertisers
124726,Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,124726_2,Digital Services Act,26-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,EBU – European Broadcasting Union
124726,Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,124726_3,Digital Services Act,26-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,ISFE – Interactive Software Federation of Europe
124726,Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,124726_4,Digital Services Act,20-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,AIG – Advertisement Information Group
124726,Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,124726_5,Digital Services Act,20-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Bitkom
124726,Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,124726_6,EU Climate and Energy Policy,18-05-2021,Online,,Member,MTK – The Central Union of Agricultural Producers and Forest Owners
124726,Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,124726_7,Digital Services Act,07-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,MVNO Europe
124726,Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,124726_8,Digital Services Act,07-05-2021,Online,ITRE,Rapporteur - ITRE Regulation on Digital Services Act,Facebook
124726,Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,124726_9,EU Transport Policy,07-05-2021,Online,,Member,2030-Sekretariatet
