mep_id,fullName,country,politicalGroup,nationalPoliticalGroup,meeting_id,topic,date,location,committee,position,lobbyist
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_0,Meeting on Banking Issues,19-02-2021,Video Conference,ECON,Committee chair - No Report,Fédération Bancaire Française
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_1,Discussion on future institutional interactions between these companies and the ECON Committee,18-02-2021,Video Conference,ECON,Committee chair - No Report,Amazon
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_2,Courtesy Meeting,28-01-2021,Video Conference,ECON,Committee chair - No Report,Presidency of the Council of the European Union
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_3,Meeting on Competition Issues,20-01-2021,Video Conference,ECON,Committee chair - No Report,European Commission
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_4,Meeting on Banking Issues,16-12-2020,Brussels,ECON,Committee chair - No Report,European Commission
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_5,Courtesy Meeting,11-12-2020,Video Conference,ECON,Committee chair - No Report,European Stability Mechanism (ESM)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_6,Meeting on Interinstitutional Relations,10-12-2020,Video Conference,ECON,Committee chair - No Report,De Nederlandsche Bank
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_7,Meeting on Banking Issues,26-11-2020,Video Conference,ECON,Committee chair - No Report,Federcasse
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_8,NPL Directive - Secondary Market,26-11-2020,Video Conference,ECON,Rapporteur - NPL Directive - Secondary Market,European Bureau of Consumers' Unions (BEUC)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_9,Meeting on Insurance and Pensions Issues,29-10-2020,Video Conference,ECON,Committee chair - No Report,Generali
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_10,Meeting on Interinstitutional Relations,29-10-2020,Video Conference,ECON,Committee chair - No Report,Eurogroup
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_11,Meeting on Banking Issues,21-10-2020,Video Conference,ECON,Committee chair - No Report,Single Resolution Board (SRB)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_12,Meeting on Banking Issues,19-10-2020,Video Conference,ECON,Committee chair - No Report,Associazione Bancaria Italiana (ABI)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_13,Meeting on Taxation,07-10-2020,Video Conference,ECON,Committee chair - No Report,DG-TAXUD
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_14,Meeting on Insurance and Pensions Issues,30-09-2020,Video Conference,ECON,Committee chair - No Report,Allianz
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_15,Meeting on InvestEU and RRF,29-09-2020,Video Conference,ECON,"Rapporteur - InvestEU, RRF",European Long-Term Investment Associastion (ELTI)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_16,Meeting on Banking Issues,23-09-2020,Video Conference,,Committee chair - No Report,UBS
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_17,Meeting on Insurance Issues,16-09-2020,Video Conference,,Committee chair - No Report,Associazione Nazionale Imprese Assicuratrici (ANIA)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_18,Meeting on Banking Issues,10-09-2020,Berlin,,Committee chair - No Report,BNP Paribas
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_19,Meeting on Banking Issues,10-09-2020,Berlin,,Committee chair - No Report,Deutsche Bank
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_20,Meeting on European Economic Governance and Interinstitutional Relations,10-09-2020,Berlin,,Committee chair - No Report,Banque de France
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_21,Meeting on European Economic Governance and Interinstitutional Relations,10-09-2020,Berlin,,Committee chair - No Report,Eurogroup
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_22,Meeting on Financial Markets,10-09-2020,Berlin,,Committee chair - No Report,Deutsche BÃ¶rse
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_23,Meeting on Interinstitutional Relations,10-09-2020,Berlin,,Committee chair - No Report,Deutsche Bundesbank
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_24,Meeting on Interinstitutional Relations,10-09-2020,Berlin,,Committee chair - No Report,Bundesministerium der Finanzen
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_25,Meeting on Interinstitutional Relations,07-07-2020,Brussels,ECON,Committee chair - No Report,European Economic and Social Committee (EESC)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_26,Meeting on Interinstitutional Relations,17-06-2020,Video Conference,ECON,Committee chair - No Report,European Bank for Reconstruction and Development (EBRD)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_27,Meeting on Banking and Financial Issues,08-06-2020,Video Conference,ECON,Committee chair - No Report,London Stock Exchange
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_28,Meeting on Banking Issues,19-02-2020,Brussels,ECON,Committee chair - No Report,Single Supervisory Mechanism (SSM)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_29,Meeting on Banking Issues,19-02-2020,Brussels,ECON,Committee chair - No Report,Deutsche Bank (DB)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_30,Introductory Meeting,18-02-2020,Brussels,ECON,Committee chair - No Report,GENERALI
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_31,Meeting on European Economic Governance and Interinstitutional Relations,18-02-2020,Brussels,ECON,Committee chair - No Report,European Central Bank
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_32,Meeting on European Economic Governance and Interinstitutional Relations,12-02-2020,Strasbourg,ECON,Committee chair - No Report,European Court of Auditor (ECA)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_33,Meeting on European Economic Governance and Interinstitutional Relations,06-02-2020,Brussels,ECON,Committee chair - No Report,European Central Bank (ECB)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_34,Introductory Meeting,05-02-2020,Brussels,ECON,Committee chair - No Report,Bombardier
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_35,Meeting on Banking and Financial Issues,05-02-2020,Brussels,ECON,Committee chair - No Report,Finance Watch
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_36,Meeting on Market Infrastructures and CMU,05-02-2020,Brussels,ECON,Committee chair - No Report,European Systemic Risk Board (ESRB)
197591,Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,197591_37,Meeting on Banking Issues,30-01-2020,Brussels,ECON,Committee chair - No Report,Banco Santander
