mep_id,fullName,country,politicalGroup,nationalPoliticalGroup,meeting_id,topic,date,location,committee,position,lobbyist
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_0,"Hydrogen act, hydrogen certification, RED staff level",25-05-2021,online,ITRE,Member - staff level,Hydrogen europe
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_1,MAGNITUDE project - Energy System Integration,21-05-2021,online,ITRE,Member - staff level,euroheat & Power
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_2,Renewable Energy Directive (REDII),17-05-2021,online,"ENVI,ITRE",Member,Partnership for Policy Integrity
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_3,Adoption of RTS under SFDR,12-05-2021,online,ECON,Shadow rapporteur - Exchange views on how the RTS could cater for the needs and ambitions of end-investors while allowing market participants to meet those needs - STAFF LEVEL,EFAMA
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_4,Digital Green Certificate,06-05-2021,online,ENVI,Member,Finnair
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_5,renewable electrification of industry,06-05-2021,online,ITRE,Member - staff level,BASF
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_6,EU biodiversity strategy,04-05-2021,online,ENVI,Shadow rapporteur - staff level meeting,Oceana
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_7,fit for 55 -,04-05-2021,online,ITRE,Member - staff level fit for 55,Finnish Energy
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_8,EU biodiversity strategy,03-05-2021,online,ENVI,Shadow rapporteur - staff level meeting,Birdlife
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_9,Vaccine equity,28-04-2021,online,ENVI,Member,ONE
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_10,Restoration of free-flowing rivers and barrier removal in the EU policy context,16-04-2021,online,ENVI,Shadow rapporteur - EU Biodiversity Strategy target of restoring 25000 km of free-flowing rivers and the upcoming Restoration Law,WWF
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_11,EU biodiversity strategy,14-04-2021,online,ENVI,Shadow rapporteur - Staff level: Biodiversity Strategy amendments: Recreational fisheries sector's perspective,European Fishing Tackle Trade Association
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_12,European energy-climate strategy,08-04-2021,online,ITRE,Member - Energy performance of buildings directive (EPBD) and the energy efficiency directive (EED),Equilibre des energies
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_13,Suomen tieverkon ja -liikenteen rooli EU-näkökulmasta,08-04-2021,online,,Member - staff level,Finmobility
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_14,"Progress, the next steps & the plan of action for the Commission's Staff Working Document on the implementation of the SDGs",06-04-2021,online,,Member,SDG Watch Europe
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_15,REDIII transport (staff level),31-03-2021,online,ITRE,Member - staff level Reneable energy directive fit for 55,transport & Environment
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_16,TEN-E,30-03-2021,online,ITRE,Member - staff level,G4DS
197802,Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,197802_17,RED and bioenergy,29-03-2021,online,ITRE,Member - staff level renewable energy directive,Bioenergy Europe
